All,Visi
"Add Up-Sell Products","Pievienot Papildu pārdošanas produktus"
"Up-Sell Products","Papildu pārdošanas produkti"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","""Impulsīvie pirkumi"" parādās pie pārdošanas groza kā kombinētie pirkumu produkti papildu jau grozā esošajiem."
"Add Cross-Sell Products","Pievienot Kombinētās pārdošanas produktus"
"Cross-Sell Products","Kombinētās pārdošanas produkti"
"Schedule Update From","Grafiks atjaunojas no"
"Product in Websites","Produkti lapās"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ja Magento instalācijā ir vairākas mājas lapas, jūs varat rediģēt iespējas lietot produktu uz konkrētām vietām."
name,nosaukums
"Copy Data from","Kopēt datus no"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ja nav speciālu vecāko kategoriju, lietojiet noklusēto galveno kategoriju. Jūs varat pārlikt kategoriju jebkurā laikā <a href=""%1"" target=""_blank"">Produkti &gt; Kategorijas</a>."
"This operation can take a long time","Šī operācija var aizņemt daudz laika"
"Collapse All","Atvērt visu"
"Expand All","Izvērst visu"
"Please confirm site switching. All data that hasn't been saved will be lost.","Apstipriniet lapas pārslēgšanu. Nesaglabātā informācija tiks zaudēta."
"Manage Titles (Size, Color, etc.)","Pārvaldīt nosaukumus (Krāsa, Izmērs, u.c.)"
"Manage Options (Values of Your Attribute)","Pārvaldīt opcijas (Atribūtu vērtības)"
"Sort Option","Kārtošanas opcijas"
"The value of Admin must be unique.","Admin vērtībai jābūt unikālai."
Groups,Grupas
"Double click on a group to rename it.","Dubultklikšķis uz grupas lai izlabotu nosaukumu."
"Unassigned Attributes","Nepiešķirtie atribūti"
"This group contains system attributes. Please move system attributes to another group and try again.","Grupa satur sistēmas atribūtus. Pārvietojiet sistēmas atribūtus uz citu grupu un mēģiniet vēlreiz."
"A name is required.","Nosaukums ir obligāts."
"Please select a node.","Izvēlieties mezglu."
"Please enter a new group name.","Ievadiet jaunu grupas vārdu."
"An attribute group named ""/name/"" already exists.","Atribūtu grupa ""/name/"" jau eksistē."
"Sorry, we're unable to complete this request.","Atvainojiet, šo pieprasījumu nevar izpildīt."
"You can't remove attributes from this attribute set.","Jūs nevarat nodzēst atribūtus no šīs atribūtu grupas."
"Custom Options","Pielāgotas opcijas"
"This is a required option.","Obligāta opcija."
"The field isn't complete.","Lauks nav gatavs."
"Compatible file extensions to upload","Derīgi failu tipi augšupielādei"
"Maximum image width","Maksimālais attēla platums"
"Maximum image height","Maksimālais attēla augstums"
"Maximum number of characters:","Maksimālais simbolu skaits:"
"start typing to search template","sāciet rakstīt lai atrastu šablonu"
"Product online","Produkts ieslēgts"
"Product offline","Produkts izslēgts"
"Product online status","Produkta statuss tiešsaistē"
"Manage Stock","Pārvaldīt noliktavu"
"Out-of-Stock Threshold","Nav noliktavā slieksnis"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Qty Uses Decimals","Skaitam lieto decimāldaļas"
Backorders,Iepriekšpasūtījums
"Notify for Quantity Below","Paziņot ja mazāk par"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"Qty Increments","Skaita pieaugums"
"Stock Availability","Noliktavas pieejamība"
"In Stock",Noliktavā
"Out of Stock","Nav pieejams"
"Add Product To Websites","Pievienot produktu lapām"
"Remove Product From Websites","Izņemt produktu no lapām"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Lai noslēptu kataloga produktu no meklēšanas rezultātiem, iestādiet tā statusu uz ""Izslēgts""."
"Delete Custom Option","Izdzēst pielāgotu opciju"
"Sort Custom Options","Šķirot pielāgotas opcijas"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>pikseļi.</span>"
"Sort Custom Option","Šķirot pielāgotas opcijas"
"Item Price","Produkta cena"
"and above","un vairāk"
"Delete Tier","Dzēst līmeni"
"Product In Websites","Produkti lapās"
"(Copy data from: %1)","(Kopēt datus no: %1)"
"Browse to find or drag image here","Pārlūkot lai pievienotu vai ievilkt šeit attēlu"
"Delete image","Dzēst attēlu"
Hidden,Slēpts
"Alt Text","Alt teksts"
Role,Loma
"Image Size","Attēla lielums"
"Image Resolution","Attēla izšķirtspēja"
"Hide from Product Page","Slēpt no produkta lapas"
"Allow Multiple Boxes for Shipping","Atļaut vairākas kastes piegādei"
"start typing to search attribute","sāciet rakstīt lai sameklētu atribūtu"
"Basic Settings",Pamatiestatījumi
"Advanced Settings","Papildu iestatījumi"
"Special Price","Īpaša cena"
"Buy %1 for: ","Pirkt %1 par: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Pirkt %1 par %2 katru un <strong class=""benefit"">saglabāt<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Pirkt %1 par %2 katru"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Jūs pievienojāt produktu %1 <a href=""%2"">salīdzināšanai</a>."
"Shop By","Iepirkties pēc"
"Shopping Options","Iepirkšanās opcijas"
"Compare Products","Salīdzināt produktus"
"Print This Page",Drukāt
"Remove Product","Nodzēst produktu"
"Add to Wish List","Pievienot vēlmju sarakstam"
"You have no items to compare.","Nav produktu salīdzināšanai."
"Remove This Item","Nodzēst šo vienību"
Compare,Salīdzināt
"Clear All","Notīrīt visu"
Prev,Iepr
"We can't find products matching the selection.","Nevar atrast produktus kuri atbilst atlasei."
"Learn More","Uzzināt vairāk"
"Add to Compare","Pievienot salīdzināšanai"
"We found other products you might like!","Mēs atradām vēl produktus kuri Jums varētu patikt!"
"More Choices:","Vairāk izvēles:"
"Check items to add to the cart or","Atzīmējiet produktus kurus pievienot grozam vai"
"select all","atlasīt visu"
"Items %1-%2 of %3","Produkti %1-%2 no %3"
"%1 Item","%1 produkts"
"%1 Items","%1 Produkti"
Show,Rādīt
"Sort By","Kārtot pēc"
"Set Ascending Direction","Iestatīt augošā secībā"
"Set Descending Direction","Iestatīt dilstošā secībā"
"View as","Apskatīt kā"
"More Information","Vairāk informācijas"
"Maximum %1 characters","Maksimums %1 simboli"
"Warning message","Brīdinājuma ziņa"
"We don't recognize or support this file extension type.","Neatbalsta vai neatpazīst šo faila paplašinājumu."
"Configure Product","Konfigurēt produktu"
OK,Labi
"This value does not follow the specified format (for example, 200X300).","Vērtība neatbilst norādītajam formātam (piemēram, 200x300)."
"Select type of option.","Izvēlieties opcijas veidu."
"Please add rows to option.","Pievienot rindas opcijai."
"Choose existing category.","Izvēlēties esošu kategoriju."
"Image Detail","Attēla detaļas"
Adding...,Pievieno...
Added,Pievienots
remaining,atlicis
"too many","par daudz"
"does not implement Storage Interface","neiekļauj Glabāšanas Interfeisa implementāciju"
"unselect all","noņemt atlasi visam"
Inventory,Inventārs
"Catalog Section","Kataloga sadaļa"
Small,Mazs
Main,Galvenais
"Custom image","Pielāgots attēls"
"Product Fields Auto-Generation","Produktu lauku automātiska ģenerācija"
"Mask for SKU","Artikula maska"
"Use {{name}} as Product Name placeholder","Lietot {{name}} kā Produkta nosaukuma vietturi"
"Mask for Meta Title","Maska Meta nosaukumam"
"Mask for Meta Keywords","Maska meta atslēgas vārdiem"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Lietot {{name}} kā Produkta nosaukumu vai {{sku}} kā Produkta artikula vietturus"
"Mask for Meta Description","Meta apraksta maska"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Lietot {{name}} un {{description}} kā Produkta nosaukumu un Produkta apraksta vietturi"
"Recently Viewed/Compared Products","Nesen apskatītie/salīdzinātie produkti"
"Lifetime of products in Recently Viewed Widget","Produktu attēlošanas laiks Nesen Skatīto Produktu Rīklogā"
"Lifetime of products in Recently Compared Widget","Produktu attēlošanas laiks Nesen Salīdzināto Produktu Rīklogā"
"Synchronize widget products with backend storage","Sinhronizēt rīkloga produktus ar lapas administrāciju"
Storefront,"Veikala priekšpuse"
"List Mode","Saraksta režīms"
"Products per Page on Grid Allowed Values","Produkti lapā režģa skatā atļautās vērtības"
Comma-separated.,"Atdalīti ar komatu."
"Products per Page on Grid Default Value","Produkti lapā režģa skatā noklusētās vērtības"
"Products per Page on List Allowed Values","Produkti lapā saraksta skatā atļautās vērtības"
"Products per Page on List Default Value","Produkti lapā saraksta skatā noklusētās vērtības"
"Use Flat Catalog Category","Izmantot vienkāršu kataloga kategoriju"
"Use Flat Catalog Product","Lietot vienkāršu kataloga produktu"
"Product Listing Sort by","Produktu saraksts Šķirot pēc"
"Allow All Products per Page","Atļaut visus produktus vienā lapā"
"Product Image Placeholders","Produkta attēlu vietturi"
"Page Title Separator","Lappuses virsraksta atdalītājs"
"Use Canonical Link Meta Tag For Categories","Lietot kanoniskās saites meta tagu kategorijām"
"Use Canonical Link Meta Tag For Products","Lietot kanoniskās saites meta tagu produktiem"
"Catalog Price Scope","Kataloga cenu apgabals"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definē pamata valūtas apgabalu (""Valūtas iestatījumi"">""Valūtas opcijas"">""Pamata valūta"")."
"Category Top Navigation","Kategorijas augstākā navigācija"
"Maximal Depth","Maksimālais dziļums"
"Date & Time Custom Options","Datuma un laika pielāgotas opcijas"
"Use JavaScript Calendar","Lietot JavaScript kalendāru"
"Date Fields Order","Datuma lauku kārtība"
"Time Format","Laika formāts"
"Year Range","Gada robežās"
"Please use a four-digit year format.","Izmantojiet četrciparu gadskaitļa formātu."
"Use Static URLs for Media Content in WYSIWYG","Lietot statiskas saites mēdiju saturam WYSIWYG redaktorā"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Mēdiju saturs tiks ievietots editorā kā statiska saite. Mēdiju saturs netiks atjaunots, ja sistēmas konfigurācijā mainās pamata URL."
"Top Level Category","Augstākā līmeņa kategorija"
"Product Info Column","Produkta informācijas kolonna"
"Block after Info Column","Bloks pēc Informācijas kolonnas"
"Product Flat Data","Produkta vienkāršie dati"
"Reorganize EAV product structure to flat structure","Reorganizēt EAV produktu struktūru uz vienkāršu struktūru"
"Category Flat Data","Kategoriju vienkārši dati"
"Reorganize EAV category structure to flat structure","Reorganizēt EAV kategoriju struktūru par vienkāršu struktūru"
"Category Products","Kategorijas produkti"
"Indexed category/products association","Indeksēto kategoriju/produktu asociācijas"
"Product Categories","Produktu kategorijas"
"Indexed product/categories association","Indeksēt produktu/kategoriju asociācijas"
"Product Price","Produkta cena"
"Index product prices","Indeksēt produktu cenas"
"Product EAV","Produktu EAV"
"Index product EAV","Indeksēt produktu EAV"
"Catalog New Products List","Kataloga jauno produktu saraksts"
"List of Products that are set as New","Produktu saraksts kuri ir atzīmēti kā jauni"
"Display Type","Displeja tips"
"All products - recently added products, New products - products marked as new","Visi produkti - pēdējie pievienotie produkti, Jauni produkti - produkti kuri ir atzīmēti kā jauni"
"All products","Visi produkti"
"New products","Jauni produkti"
"Display Page Control","Rādīt lapas vadību"
"Number of Products per Page","Produktu skaits lapā"
"Number of Products to Display","Rādāmo produktu skaits"
Template,Šablons
"New Products Grid Template","Jaunu produktu režģa šablons"
"New Products List Template","Jaunu produktu saraksta šablons"
"New Products Images and Names Template","Jaunu produktu attēlu un nosaukumu šablons"
"New Products Names Only Template","Jaunu produktu tikai attēlu šablons"
"New Products Images Only Template","Jaunu produktu tikai nosaukumu šablons"
"Cache Lifetime (Seconds)","Kešatmiņas dzīves ilgums (sekundes)"
"Catalog Product Link","Kataloga produktu saites"
"Link to a Specified Product","Saite uz norādīto produktu"
"Select Product...","Izvēlieties produktu..."
"Anchor Custom Text","Enkura teksts"
"If empty, we'll use the product name here.","Ja tukšs, tiks izmantots produkta nosaukums."
"Anchor Custom Title","Enkura nosaukums"
"Product Link Block Template","Produkta saites bloka šablons"
"Product Link Inline Template","Produkta saites iekļautais šablons"
"Catalog Category Link","Kataloga kategorijas saite"
"Link to a Specified Category","Saite uz noteiktu kategoriju"
"Select Category...","Izvēlieties kategoriju..."
"If empty, we'll use the category name here.","Ja tukšs, tiks izmantots kategorijas nosaukums."
"Category Link Block Template","Kategorijas saites bloka šablons"
"Category Link Inline Template","Kategorijas saites iekļautais šablons"
"Recently Viewed Products","Nesen apskatītie produkti"
"List of Products Recently Viewed by Visitor","Nesen viesu apskatīto produktu saraksts"
"UI Component","UI Komponents"
"Number of Products to display","Rādāmo produktu skaits"
"Product attributes to show","Attēlojamie produkta atribūti"
Image,Attēls
"Learn More Link","Skatīt vairāk saite"
"Buttons to show","Attēlojamās pogas"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"Viewed Products Grid Template","Skatīto produktu režģa šablons"
"Viewed Products List Template","Skatīto produktu saraksta šablons"
"Viewed Products Sidebar Template","Skatīto produktu sānu saraksta šablons"
"Recently Compared Products","Nesen salīdzinātie produkti"
"List of Products Recently Compared by Visitor","Nesen viesu salīdzināto produktu saraksts"
"Compared Products Grid Template","Salīdzināto produktu režģa šablons"
"Compared Products List Template","Salīdzināto produktu saraksta šablons"
Set,Iestatīt
"Category Information","Kategorijas informācija"
"Enable Category","Ieslēgt kategoriju"
"Include in Menu","Iekļaut izvēlnē"
"Category Image","Kategorijas attēlus"
"Add CMS Block","Pievienot CMS bloku"
"Display Settings","Displeja iestatījumi"
"Display Mode","Attēlošanas veids"
Anchor,Enkurs
"Available Product Listing Sort By","Pieejamo produktu saraksts kārtots pēc"
"Use All","Lietot visus"
"Default Product Listing Sort By","Noklusēto produktu saraksts kārtots pēc"
"Layered Navigation Price Step","Slāņveida navigācijas cenas solis"
"URL Key","URL atslēga"
"Meta Title","Meta virsraksts"
"Meta Keywords","Meta atslēgas vārdi"
"Meta Description","Meta apraksts"
"Products in Category","Produkti kategorijā"
Theme,Tēma
Layout,Izkārtojums
"Layout Update XML","Atjaunot izkārtojuma XML"
"Apply Design to Products","Pielietot dizainu produktiem"
"Schedule Design Update","Iekļaut dizaina atjaunošanu grafikā"
"Product Image Watermarks","Produkta attēlu ūdenszīmes"
Base,Bāze
"Allowed file types: jpeg, gif, png.","Atļautie faila veidi: jpeg, gif, png."
"Image Opacity","Attēla caurspīdīgums"
"Example format: 200x300.","Formāta piemērs: 200x300."
"Image Position","Attēla novietojums"
"Attribute Properties","Atribūta Īpašības"
"Attribute Label","Atribūta nosaukums"
"Catalog Input Type for Store Owner","Kataloga ievades veids priekš Veikala īpašnieka"
Values,Vērtības
"Add this attribute to the list of column options in the product grid.","Pievienot šo atribūtu kolonnas opcijas sarakstā produktu režģī."
"Add this attribute to the list of filter options in the product grid.","Pievienot šo atribūtu filtra opcijām produktu režģī."
"Delete selected items?","Izdzēst atlasītos produktus?"
"Delete items","Dzēst produktus"
"Change status","Mainīt statusu"
"Update attributes","Atjaunot atribūtus"
Overview,Pārskats
"Skip to the end of the images gallery","Iet uz galerijas beigām"
"Skip to the beginning of the images gallery","Iet uz galerijas sākumu"
"Recently Compared","Nesen salīdzinātie"
"Add To Cart","Pievienot grozam"
"Add To Compare","Pievienot salīdzināšanai"
"Learn more","Uzziniet vairāk"
"Recently Viewed","Nesen apskatītie"
"Edit Event","Rediģēt Notikumu"
"Add Event","Pievienot Notikumu"
Events,Notikumi
"Add Catalog Event","Pievienot kataloga notikumu"
"Back to Category","Atpakaļ uz kategoriju"
"Edit Catalog Event","Labot kataloga notikumu"
"Catalog Event Information","Kataloga notikuma informācija"
Upcoming,Gaidāmie
Open,Atvērt
Closed,Slēgts
"Display Countdown Ticker On","Rādīt laika atskaitīšanu"
"Category Page","Kategorijas lapa"
"Product Page","Produkta lapa"
"Coming Soon",Drīzumā
"Sale Ends In","Pārdošana beidzās"
"You deleted the event.","Notikums ir nodzēsts."
"New Event","Jauns notikums"
"Something went wrong while saving this event.","Kļūda saglabājot šo pasākumu."
"We did not upload your image.","Jūsu attēls netika augšupielādēts."
"You saved the event.","Notikums ir saglabāts."
"%1 is required.","%1 ir obligāts."
"Please make sure the end date follows the start date.","Pārliecinieties ka beigu datums ir pēc sākuma datuma."
"Event for selected category","Pasākums izvēlētajai kategorijai"
"Lister Block","Pārskata bloks"
"This product is no longer on sale.","Šis produkts vairs nav pārdošanā."
"Some of these products can no longer be sold.","Vairākus no šiem produktiem vairs nevar pārdot."
"Select Category","Izvēlieties kategoriju"
Hrs,Stundas
Mins,Minūtes
Sec,Sek
"Preview Sale","Paraugu izpārdošana"
"Go To Sale",Izpārdošana
"View Sale","Apskatīt izpārdošanu"
Days,Dienas
"Catalog Events","Kataloga pasākumi"
"Enable Catalog Events Functionality","Ieslēgt kataloga pasākumu funkcionalitāti"
"Enable Catalog Event Widget on Storefront","Ieslēgt kataloga pasākumu rīklogu veikalā"
"Number of Events to be Displayed in Event Slider Widget","Notikumu skaits kurus parādīt Notikumu slaidu rīklogā"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Šo vērtību var pielāgot lietojot limit=""x"" vērtību. Atstājiet tukšu ja limits nav nepieciešams."
"Events to Scroll per Click in Event Slider Widget","Cik notikumus pāršķirt ar vienu klikšķi Pasākumu Rīklogā"
"You can override this default value in CMS using the limit=""x"" variable.","Šo vērtību var pielāgot lietojot limit=""x"" vērtību."
"Catalog Events Carousel","Kataloga pasākumu karuselis"
"List all open Catalog Events as a Paginated Carousel","Parādīt visus kataloga pasākumus ka karuseli"
"Frame Size","Rāmja izmērs"
"Number of Items to display at once","Vienā reizē attēlojamo produktu skaits"
Scroll,Ritināt
"Number of Items to scroll per click","Pāršķiramo vienību skaits ar vienu klikšķi"
"Block Custom Width","Bloka pielāgotais platums"
"If empty, we'll automatically set the width value in pixels.","Ja tukšs, automātiski iestatīt platuma vērtību pikseļos."
"Catalog Events Carousel Default Template","Kataloga pasākumu karuseļa noklusētais šablons"
"Category ID","Kategorijas ID"
Start,Sākt
End,Beigas
"Countdown Ticker","Laika atskaites taimeris"
"Concrete type for %1 not implemented","Konkrēts veids %1 nav implementēts"
"Missing key %1 in product data","Trūkst atslēgas %1 produkta datos"
"""model"" value should be specified","jābūt norādītai ""model"" vērtībai"
"""path"" value should be specified","jābūt norādītai ""path"" vērtībai"
"currentPage value %1 specified is greater than the number of pages available.","currentPage norādītā vērtība %1 ir lielāka kā pieejamo lapu skaits."
"""id for category should be specified","kategorijai jānorāda ""id"
"No child sku found for product link.","Produkta saitei nav pieejams zemāk esošs artikuls."
"'search' or 'filter' input argument is required.","Nepieciešams 'search' vai 'filter' ievades arguments."
"SimpleProduct type not defined in schema.","SimpleProduct veids shēmā nav definēts."
"'category_id' only supports 'eq' condition type.","'category_id' atbalsta tikai 'eq' noteikuma veidu."
"Cannot resolve layered filter type","Nevar izveidot vairāku slāņu veida filtru"
"Cannot resolve type","Nevar izveidot šo veidu"
"Category doesn't exist","Kategorija neeksistē"
"""image_type"" value should be specified","jābūt norādītai ""image_type"" vērtībai"
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage norādītā vērtība %1 ir lielāka kā %2 lapā(s) pieejama."
"There are no product types available for export.","Nav pieejami produktu veidi eksportēšanai."
"'Entity type model must be an instance of ' .","'Objekta modeļa tipam jābūt ' ."
"Wrong attribute set code ""%1"", please correct it and try again.","Nepareizi atribūtu kodi ""%1"", izlabojiet to un mēģiniet vēlreiz."
"Category ""%1"" has not been created.","Kategorija ""%1"" nav izveidota."
"File directory '%1' is not readable.","Faila direktorija '%1' nav nolasāma."
"File directory '%1' is not writable.","Faila direktorija '%1' nav ierakstāma."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Apakšatribūta 'priece' vērtība 'store' atribūtā satur nepareizu vērtību"
"Please enter a value for title.","Ievadiet nosaukumu."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Apakšatribūta 'price' vērtība 'custom_options' atribūtā satur nepareizu vērtību"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Apakšatribūta 'maximum characters' vērtība 'custom_options' atribūtā satur nepareizu vērtību"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Apakšatribūta 'sort order' vērtība 'custom_options' atribūtā satur nepareizu vērtību"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Apakšatribūta 'value price' vērtība 'custom_options' atribūtā satur nepareizu vērtību"
"This name is already being used for custom option. Please enter a different name.","Šis nosaukums jau tiek lietots papildus opcijām. Izmantojiet citu nosaukumu."
"Custom options have different types.","Pielāgotām opcijām ir dažādi veidi."
"Every option entity must have a parent product entity.","Katram opcijas ierakstam jābūt vecākam produkta ierakstam."
"Please correct the parameters.","Lūdzu izlabojiet parametrus."
"File '%1' was not found or has read restriction.","Fails '%1' nav atrasts vai ir liegta tā lasīšana."
"Minimum Qty","Minimālais skaits"
"Add Minimum Qty","Noteikt minimālo daudzumu"
"Could not rebuild index for empty products array","Nevar atjaunot indeksus tukšo produktu masīvam"
"This product is out of stock.","Produkts(i) nav pieejams."
"Allow Qty Below 0","Atļaut daudzumu mazāku par 0"
"Allow Qty Below 0 and Notify Customer","Atļaut daudzumu mazāku par 0 un paziņot klientam"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Mums nav ""%1"" pieprasītajā daudzumā, līdz ar to mēs veiksim atlikušā daudzuma pasūtīšanu %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Mums nav ""%1"" pieprasītajā daudzumā, līdz ar to mēs veiksim atlikušā daudzuma pasūtīšanu %2."
"Stock Status","Krājumu Status"
"Only %1 left","Tikai %1 palikuši"
"Product availability","Produkta pieejamība"
"New Permission","Jauna atļauja"
"You already have a permission with this scope.","Jums jau ir atļaujas šajā kopā."
(Allow),(Atļaut)
(Deny),(Aizliegt)
"Category Permissions","Kategorijas atļaujas"
"Browsing Category","Kategoriju pārlūkošana"
"Display Product Prices","Rādīt produktu cenas"
"No, Redirect to Landing Page","Nē, Novirzīt uz piezemēšanās lapu"
"Permission with the same scope","Atļaujas šajā pašā kopā"
"You may need more permissions to access this category.","Jums vajag vairāk atļauju lai piekļūtu šai kategorijai."
"You may need more permissions to access this product.","Jums vajag vairāk atļauju lai piekļūtu šim produktam."
"You cannot add ""%1"" to the cart.","Nevar pievienot ""%1"" grozam."
"Permissions do not depend on store views.","Atļaujas nav atkarīgas no veikala skata."
"All Customer Groups","Visas klientu grupas"
Allow,Atļaut
Deny,Aizliegt
"Use parent","Izmantot augstāku"
"Category Permissions Section","Kategoriju atļauju sadaļa"
"Landing Page","Piezemēšanās lapa"
"Allow Adding to Cart","Atļaut pievienot grozam"
"Disallow Catalog Search By","Aizliegt meklēšanu katalogā pēc"
"Catalog Category Permissions","Kataloga kategoriju atļaujas"
"Indexed permissions for categories","Kategoriju indeksētās atļaujas"
"Catalog Product Permissions","Kataloga produktu atļaujas"
"Indexed permissions for products","Produkta indeksētās atļaujas"
"Delete Rule","Dzēst Noteikumu"
"Save and Apply","Saglabāt un lietot"
"Add New Rule","Pievienot jaunu noteikumu"
"Apply Rules","Pielietot noteikumus"
Conditions,Nosacījumi
"Conditions (don't add conditions if rule is applied to all products)","Nosacijumi (nepievienojiet nosacijumus, ja noteikums paredzēts visiem produktiem)"
"We can't apply the rules.","Mēs nevar piemērot noteikumus."
"We can't delete this rule right now. Please review the log and try again.","Mēs šobrīd nevar izdzēst šo noteikumu. Lūdzu, pārskatiet žurnālu un mēģiniet vēlreiz."
"We can't find a rule to delete.","Mēs nevaram atrast noteikumu ko dzēst."
"Conditions Combination","Noteikumu kombinācija"
"Product Attribute","Produkta atribūts"
"Rule Name","Noteikumu nosaukums"
Priority,Prioritāte
"Discard subsequent rules","Dzēst sekojošos noteikumus"
"End Time","Beigu laiks"
"Catalog Advanced Search","Kataloga paplašinātā meklēšana"
"Advanced Search Results","Paplašinātas meklēšanas rezultāti"
"Search Weight","Meklēšanas svars"
Relevance,Atbilstība
"Search results for: '%1'","Meklēšanas rezultāti: '%1'"
"Search Settings","Meklēšanas iestatījumi"
"Advanced Search","Paplašināta Meklēšana"
"We can't find any items matching these search criteria.","Mēs nevaram atrast jebkuru šo meklēšanas kritērijiem atbilstošo vienumu."
"Modify your search.","Labot meklēšanu."
"Don't see what you're looking for?","Nevarat atrast meklēto?"
"Catalog Search","Kataloga meklēšana"
"Popular Search Terms","Populārākie meklējumi"
"Minimal Query Length","Minimālais pieprasījuma garums"
"Maximum Query Length","Maksimālais pieprasījuma garums"
"Rebuild Catalog product fulltext search index","Pārbūvēt kataloga produktu pilnā teksta meklēšanas indeksus"
View/Edit,Skatīt/Labot
Preview,Priekšskatītījums
"Store View:","Veikala skats:"
"Sort Products By","Šķirot produktus pēc"
"Default Product Sorting","Noklusētā produktu šķirošana"
"Use Parent Category Settings","Lietot augstākas kategorijas iestatījumus"
"New Theme","Jauna tēma"
Path,Ceļš
"Create Permanent Redirect for old URL","Izveidot pastāvīgu pārvirzīšanu vecam URL"
"Category URL Suffix","Kategorijas URL sufikss"
"You need to refresh the cache.","Nepieciešams atjaunot kešu."
"Product URL Suffix","Produkta URL sufikss"
"Use Categories Path for Product URLs","Izmantot kategoriju ceļu produkta URL"
"Create Permanent Redirect for URLs if URL Key Changed","Izveidot pastāvīgu pārvirzīšanas URL, ja URL atslēga ir mainījusies"
"Please choose a condition to add.","Izvēlieties noteikumu lai pievienotu."
"Catalog Products List","Kataloga produktu saraksts"
"List of Products","Produktu saraksts"
"Products Grid Template","Produktu režģa šablons"
"My Cart (1 item)","Mans grozs (1 prece)"
"My Cart (%1 items)","Mans grozs (%1 preces)"
"My Cart","Mans grozs"
"Customer is already registered","Klients jau ir reģistrēts"
"Your session has expired","Jūsu sesija ir beigusies"
"A letter with further instructions will be sent to your email.","Vēstule ar turpmākajām instrukcijām tiks nosūtīta uz jūsu e-pastu."
"We cannot configure the product.","Mēs nevaram nokonfigurēt produktu."
"You used coupon code ""%1"".","Jūs izmantojāt kuponu ar kodu ""%1""."
"You canceled the coupon code.","Jūs atcēlāt kuponu."
"We cannot apply the coupon code.","Mēs nevaram izmantot šādu kuponu."
"We can't remove the item.","Mēs nevaram izdzēst produktu."
"%1 was updated in your shopping cart.","%1 tika atjaunināts jūsu pirkuma grozā."
"We can't update the item right now.","Mēs nevaram atjaunot produktu šobrīd."
"We can't update the shopping cart.","Mēs nevar atjaunināt iepirkumu grozam."
"One-page checkout is turned off.","Vienas lapas pirkuma veikšana ir izslēgta."
"Guest checkout is disabled.","Pirkuma noformēšana viesiem ir izslēgta."
Checkout,"Pirkuma noformēšana"
"Page not found.","Lapa nav atrasta."
"Something went wrong while processing your order. Please try again later.","Neizdevās noformēt jūsu pirkumu. Lūdzu, mēģiniet vēlreiz vēlāk."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nepaplašina \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Apmaksas veids"
"The product does not exist.","Produkts neeksistē."
"We don't have some of the products you want.","Daži no jums vēlamajiem produktiem nav pieejami."
"We don't have as many of some products as you want.","Dažu produkti mums ir nepietiekamā daudzumā."
"Quantity was recalculated from %1 to %2","Daudzums tika mainīts no %1 uz %2"
"We adjusted product quantities to fit the required increments.","Mēs pielāgojām produktu daudzumus, lai atbilstu prasībām."
"This quote item does not exist.","Šis pirkuma vienums neeksistē."
"Display number of items in cart","Atrādīt produktu skaitu grozā"
"Display item quantities","Rādīt produktu skaitu"
"Carrier with such method not found: %1, %2","Piegādātājs ar šādiem piegādes veidiem netika atrastas: %1, %2"
" item"," produkts"
" items"," produkti"
"Totals calculation is not applicable to empty cart","Kopsummas aprēķins nav nepieciešams tukšam grozam"
"Invalid data","Nederīgi dati"
"The customer address is not valid.","Klienta adrese nav pareiza."
